,year,state,age_avg,total_population,country,new_building,area_Wg,rooms_Wg,kino,kino_seat,museum,apartment,restaurant,new_building_per_resident,area_Wg_per_resident,rooms_Wg_per_resident,kino_per_resident,kino_seat_per_resident,museum_per_resident,apartment_per_resident,restaurant_per_resident,scaled_new_building,scaled_area_Wg,scaled_rooms_Wg,scaled_kino,scaled_kino_seat,scaled_museum,scaled_apartment,scaled_restaurant,score,age_avg_per_resident,scaled_age_avg
0,2020,Baden-Württemberg,43.24064952283802,11103043,Germany,26600,1402,186843,252.0,100970.0,841,5373419,16236,0.0023957396184091156,0.00012627168966201428,0.016828089380541894,2.2696480595454777e-05,0.009093903356043924,7.57450007173709e-05,0.48395912724106355,0.0014623018212214435,0.6457659195030878,0.8522195037038142,0.6185599488164543,0.22081373533858,0.14208117776524842,0.7842822430435943,0.0,0.5567732257459207,3.844323064587907,3.8944863604363255e-06,0.023827310671207493
1,2020,Bayern,43.48823650325114,13140183,Germany,40427,1948,283342,284.0,125431.0,590,6549811,21531,0.003076593377733019,0.00014824755484759992,0.021563017805764195,2.161309321186775e-05,0.00954560526287952,4.490044012324638e-05,0.4984566044475941,0.0016385616547349455,0.9266623559179572,1.0,1.0,0.18877517077580802,0.18909653984414462,0.3375636284051417,0.13204690849358292,0.7107539810265147,4.499135921902939,3.3095609477623817e-06,0.014237337439790413
2,2020,Berlin,42.149703828074,3664088,Germany,3043,156,53307,95.0,48373.0,147,1982825,7217,0.0008304931540945523,4.257539666077889e-05,0.014548504293565002,2.592732488957689e-05,0.013201920914563188,4.011912377650319e-05,0.5411510313071084,0.0019696579339797517,0.0,0.2893893437342131,0.434919358259293,0.31635815008593876,0.5696639043764566,0.26831631304633036,0.5209191927117435,1.0,3.548144333925326,1.150346384368334e-05,0.14857807171135046
3,2020,Brandenburg,46.72218005737492,2531071,Germany,8237,131,53611,64.0,24371.0,225,1348702,2378,0.0032543535918194313,5.17567464523911e-05,0.021181152168390376,2.5285738724832295e-05,0.009628730288482622,8.889517520448854e-05,0.5328582248384182,0.0009395232294945499,1.0,0.3511309141986743,0.9692373706244001,0.2973847892427536,0.19774860244871925,0.9747348744309939,0.4453860884808322,0.10007335945184492,4.5983189132715605,1.845945058727113e-05,0.26262291439334207
4,2020,Bremen,43.143782806228224,680130,Germany,778,35,6223,12.0,11791.0,27,363969,1062,0.001143898960492847,5.1460750150706484e-05,0.009149721376795613,1.764368576595651e-05,0.017336391572199433,3.969829297340214e-05,0.5351462220457853,0.001561466190287151,0.12930026891006496,0.3491404360083785,0.0,0.07138953507575979,1.0,0.2622214635903035,0.4662257803507177,0.6434033112355425,3.921680795170767,6.343461221564733e-05,1.0
5,2020,Hamburg,41.6088110088217,1852478,Germany,2221,139,31096,33.0,20595.0,40,976709,3625,0.0011989346162275612,7.503462929114408e-05,0.016786164262139684,1.7813976738185284e-05,0.011117540937058362,2.1592699076588222e-05,0.5272445880598852,0.0019568383538158076,0.15200605463854228,0.5076670528027531,0.6151825124809801,0.07642547918113114,0.35271135697873524,0.0,0.3942555799481306,0.988800802788271,3.4152806628166865,2.2461163376202955e-05,0.3282318239981429
6,2020,Hessen,43.51817880191713,6293154,Germany,12237,494,97673,128.0,56589.0,304,3081216,9845,0.0019444939691607738,7.849799957223357e-05,0.015520516421495486,2.033956264219817e-05,0.00899215242468244,4.830646127522066e-05,0.4896139519229944,0.0015643983922846954,0.4595977547749664,0.5309570836923027,0.5132234681701886,0.15111358084300905,0.13149043903372867,0.3868926841975282,0.05150565899740242,0.6459648856408797,2.944097466908249,6.915161904812298e-06,0.07335191155824332
7,2020,Mecklenburg-Vorpommern,46.84607834494473,1610774,Germany,3454,68,24681,79.0,19778.0,146,921785,2634,0.002144310747503995,4.2215729829262205e-05,0.015322447469353243,4.904474494870168e-05,0.012278569184752175,9.063965522165121e-05,0.5722621547156833,0.0016352387113275977,0.5420351654580567,0.28697070208284026,0.49726727528656306,1.0,0.47355690273158596,1.0,0.8042876441561165,0.707851054560407,5.748766320549317,2.908296157309761e-05,0.4367975762737482
8,2020,Niedersachsen,44.27034801742904,8003421,Germany,22024,714,155134,177.0,69454.0,492,4057466,9232,0.002751823251582042,8.921185078230921e-05,0.019383461147426832,2.211554284099262e-05,0.008678039053549726,6.14737123037761e-05,0.5069664584681975,0.0011535067316838638,0.792673566342342,0.6030042243030388,0.8244175774896514,0.2036339047117334,0.09879597028311889,0.5775926333870615,0.20955694000763067,0.28700954694219105,3.6473496732496287,5.53142812522658e-06,0.050665309782861524
9,2020,Nordrhein-Westfalen,43.75948608607704,17925570,Germany,30352,821,228644,273.0,171030.0,557,9108208,21116,0.0016932237022309472,4.580049616274406e-05,0.012755187143281915,1.5229641233165807e-05,0.009541119194536074,3.107293101418811e-05,0.5081126011613578,0.0011779820669579823,0.3559324351802137,0.31107708166762604,0.2904519188047682,0.0,0.18862960772744095,0.13730122900251476,0.2199963148842573,0.30839122271102604,1.811779809977847,2.441176826515254e-06,0.0
